127.0.0.1, 2014-04-15 19:59:03, GET, /, HTTP/1.1, 404, 0.007000
127.0.0.1, 2014-04-15 19:59:03, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-15 19:59:17, GET, /, HTTP/1.1, 404, 0.003000
127.0.0.1, 2014-04-15 19:59:17, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-15 20:02:39, GET, /, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-15 20:02:39, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-15 20:04:17, GET, /, HTTP/1.1, 404, 0.007000
127.0.0.1, 2014-04-15 20:04:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-15 20:05:41, GET, /, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-04-15 20:05:41, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-15 20:06:10, GET, /, HTTP/1.1, 500, 0.252000
127.0.0.1, 2014-04-15 20:06:10, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-15 20:06:13, GET, /admin/default/ticket/GeoInput/127.0.0.1.2014-04-15.20-06-10.6a0cb29a-a3c2-433f-8b8a-2dd23d63f961, HTTP/1.1, 200, 0.192000
127.0.0.1, 2014-04-15 20:06:14, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-15 20:06:38, GET, /, HTTP/1.1, 200, 0.012000
127.0.0.1, 2014-04-15 20:06:38, GET, /GeoInput/static/js/modernizr.custom.js, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:06:38, GET, /GeoInput/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:06:38, GET, /GeoInput/static/css/calendar.css, HTTP/1.1, 404, 0.003000
127.0.0.1, 2014-04-15 20:06:38, GET, /GeoInput/static/js/calendar.js, HTTP/1.1, 404, 0.002000
127.0.0.1, 2014-04-15 20:06:38, GET, /GeoInput/static/js/web2py.js, HTTP/1.1, 404, 0.003000
127.0.0.1, 2014-04-15 20:06:38, GET, /GeoInput/static/css/bootstrap-responsive.min.css, HTTP/1.1, 404, 0.002000
127.0.0.1, 2014-04-15 20:06:38, GET, /GeoInput/static/css/web2py.css, HTTP/1.1, 404, 0.003000
127.0.0.1, 2014-04-15 20:06:38, GET, /GeoInput/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-15 20:06:38, GET, /GeoInput/static/css/web2py_bootstrap.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-04-15 20:06:38, GET, /GeoInput/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:06:38, GET, /GeoInput/static/js/web2py_bootstrap.js, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:06:38, GET, /GeoInput/static/js/share.js, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:06:38, GET, /GeoInput/static/images/favicon.ico, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:06:42, GET, /, HTTP/1.1, 200, 0.025000
127.0.0.1, 2014-04-15 20:06:42, GET, /GeoInput/static/js/modernizr.custom.js, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:06:42, GET, /GeoInput/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:06:42, GET, /GeoInput/static/css/calendar.css, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:06:42, GET, /GeoInput/static/js/calendar.js, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:06:42, GET, /GeoInput/static/css/web2py.css, HTTP/1.1, 404, 0.002000
127.0.0.1, 2014-04-15 20:06:42, GET, /GeoInput/static/js/web2py.js, HTTP/1.1, 404, 0.002000
127.0.0.1, 2014-04-15 20:06:42, GET, /GeoInput/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:06:42, GET, /GeoInput/static/css/bootstrap-responsive.min.css, HTTP/1.1, 404, 0.002000
127.0.0.1, 2014-04-15 20:06:42, GET, /GeoInput/static/css/web2py_bootstrap.css, HTTP/1.1, 404, 0.002000
127.0.0.1, 2014-04-15 20:06:42, GET, /GeoInput/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:06:42, GET, /GeoInput/static/js/web2py_bootstrap.js, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:06:42, GET, /GeoInput/static/js/share.js, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-04-15 20:06:43, GET, /, HTTP/1.1, 200, 0.030000
127.0.0.1, 2014-04-15 20:06:43, GET, /GeoInput/static/js/modernizr.custom.js, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:06:43, GET, /GeoInput/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:06:43, GET, /GeoInput/static/css/calendar.css, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:06:43, GET, /GeoInput/static/js/calendar.js, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-04-15 20:06:43, GET, /GeoInput/static/js/web2py.js, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:06:43, GET, /GeoInput/static/css/web2py.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-04-15 20:06:43, GET, /GeoInput/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:06:43, GET, /GeoInput/static/css/bootstrap-responsive.min.css, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:06:43, GET, /GeoInput/static/css/web2py_bootstrap.css, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:06:43, GET, /GeoInput/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:06:43, GET, /GeoInput/static/js/web2py_bootstrap.js, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:06:43, GET, /GeoInput/static/js/share.js, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-04-15 20:06:49, GET, /, HTTP/1.1, 200, 0.011000
127.0.0.1, 2014-04-15 20:06:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-15 20:06:54, GET, /GeoInput/static/js/modernizr.custom.js, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-04-15 20:06:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-15 20:07:16, GET, /GeoInput/static/css/bootstrap-responsive.min.css, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:07:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-15 20:07:44, GET, /, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-04-15 20:07:44, GET, /GeoInput/static/js/modernizr.custom.js, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-04-15 20:07:44, GET, /GeoInput/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:07:44, GET, /GeoInput/static/css/calendar.css, HTTP/1.1, 404, 0.002000
127.0.0.1, 2014-04-15 20:07:44, GET, /GeoInput/static/js/calendar.js, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:07:44, GET, /GeoInput/static/js/web2py.js, HTTP/1.1, 404, 0.002000
127.0.0.1, 2014-04-15 20:07:44, GET, /GeoInput/static/css/web2py.css, HTTP/1.1, 404, 0.002000
127.0.0.1, 2014-04-15 20:07:44, GET, /GeoInput/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:07:44, GET, /GeoInput/static/css/bootstrap-responsive.min.css, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:07:44, GET, /GeoInput/static/css/web2py_bootstrap.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-04-15 20:07:44, GET, /GeoInput/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:07:44, GET, /GeoInput/static/js/web2py_bootstrap.js, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-04-15 20:07:44, GET, /GeoInput/static/js/share.js, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-04-15 20:08:05, GET, /, HTTP/1.1, 200, 0.007000
127.0.0.1, 2014-04-15 20:08:05, GET, /GeoInput/static/js/modernizr.custom.js, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:08:05, GET, /GeoInput/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:08:05, GET, /GeoInput/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:08:05, GET, /GeoInput/static/js/calendar.js, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:08:05, GET, /GeoInput/static/js/web2py.js, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:08:05, GET, /GeoInput/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:08:05, GET, /GeoInput/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:08:05, GET, /GeoInput/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-15 20:08:05, GET, /GeoInput/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-15 20:08:05, GET, /GeoInput/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-04-15 20:08:05, GET, /GeoInput/static/js/web2py_bootstrap.js, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-04-15 20:08:05, GET, /GeoInput/static/js/share.js, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:08:26, GET, /, HTTP/1.1, 200, 0.024000
127.0.0.1, 2014-04-15 20:08:26, GET, /GeoInput/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:08:26, GET, /GeoInput/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:08:26, GET, /GeoInput/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:08:26, GET, /GeoInput/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:08:26, GET, /GeoInput/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:08:26, GET, /GeoInput/static/css/web2py.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-04-15 20:08:26, GET, /GeoInput/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-04-15 20:08:26, GET, /GeoInput/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-04-15 20:08:26, GET, /GeoInput/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-04-15 20:08:26, GET, /GeoInput/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-04-15 20:08:26, GET, /GeoInput/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-04-15 20:08:26, GET, /GeoInput/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:08:26, GET, /GeoInput/static/images/twitter.png, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:08:26, GET, /GeoInput/static/images/facebook.png, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-04-15 20:08:26, GET, /GeoInput/static/images/gplus-32.png, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:08:28, GET, /, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-04-15 20:08:28, GET, /GeoInput/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:08:28, GET, /GeoInput/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:08:28, GET, /GeoInput/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:08:28, GET, /GeoInput/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:08:28, GET, /GeoInput/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:08:28, GET, /GeoInput/static/css/web2py.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:08:28, GET, /GeoInput/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:08:28, GET, /GeoInput/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:08:28, GET, /GeoInput/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:08:28, GET, /GeoInput/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:08:28, GET, /GeoInput/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:08:28, GET, /GeoInput/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:08:28, GET, /GeoInput/static/images/twitter.png, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:08:28, GET, /GeoInput/static/images/facebook.png, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:08:28, GET, /GeoInput/static/images/gplus-32.png, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-04-15 20:08:49, GET, /, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-04-15 20:08:49, GET, /GeoInput/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:08:49, GET, /GeoInput/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:08:49, GET, /GeoInput/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:08:49, GET, /GeoInput/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:08:49, GET, /GeoInput/static/css/web2py.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-04-15 20:08:49, GET, /GeoInput/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-04-15 20:08:49, GET, /GeoInput/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:08:49, GET, /GeoInput/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:08:49, GET, /GeoInput/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:08:49, GET, /GeoInput/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:08:49, GET, /GeoInput/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:08:49, GET, /GeoInput/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:08:50, GET, /GeoInput/static/images/twitter.png, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:08:50, GET, /GeoInput/static/images/facebook.png, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:08:50, GET, /GeoInput/static/images/gplus-32.png, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-04-15 20:08:52, GET, /, HTTP/1.1, 200, 0.021000
127.0.0.1, 2014-04-15 20:08:52, GET, /GeoInput/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:08:52, GET, /GeoInput/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:08:52, GET, /GeoInput/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:08:52, GET, /GeoInput/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:08:52, GET, /GeoInput/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:08:52, GET, /GeoInput/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-04-15 20:08:52, GET, /GeoInput/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-04-15 20:08:52, GET, /GeoInput/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-15 20:08:52, GET, /GeoInput/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-04-15 20:08:52, GET, /GeoInput/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:08:52, GET, /GeoInput/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:08:52, GET, /GeoInput/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:08:52, GET, /GeoInput/static/images/facebook.png, HTTP/1.1, 404, 0.002000
127.0.0.1, 2014-04-15 20:08:52, GET, /GeoInput/static/images/gplus-32.png, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:08:52, GET, /GeoInput/static/images/favicon.ico, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-04-15 20:08:54, GET, /, HTTP/1.1, 200, 0.027000
127.0.0.1, 2014-04-15 20:08:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-15 20:09:00, GET, /GeoInput/static/images/favicon.ico, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-04-15 20:09:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-15 20:09:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-15 20:09:16, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-15 20:09:20, GET, /GeoInput/static/css/web2py_bootstrap_nojs.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:09:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-15 20:09:42, GET, /, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-04-15 20:09:42, GET, /GeoInput/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:09:42, GET, /GeoInput/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:09:42, GET, /GeoInput/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:09:42, GET, /GeoInput/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:09:42, GET, /GeoInput/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:09:42, GET, /GeoInput/static/css/web2py.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-04-15 20:09:42, GET, /GeoInput/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:09:42, GET, /GeoInput/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:09:42, GET, /GeoInput/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:09:42, GET, /GeoInput/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-04-15 20:09:42, GET, /GeoInput/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-04-15 20:09:42, GET, /GeoInput/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:09:42, GET, /GeoInput/static/images/twitter.png, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:09:42, GET, /GeoInput/static/images/facebook.png, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-04-15 20:09:42, GET, /GeoInput/static/images/gplus-32.png, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-04-15 20:10:50, GET, /HelloWorld, HTTP/1.1, 200, 0.085000
127.0.0.1, 2014-04-15 20:10:52, GET, /HelloWorld, HTTP/1.1, 200, 0.036000
127.0.0.1, 2014-04-15 20:10:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-15 20:11:06, GET, /, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-04-15 20:11:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-15 20:11:29, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-15 20:11:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-15 20:12:43, GET, /HelloWorld, HTTP/1.1, 200, 0.029000
127.0.0.1, 2014-04-15 20:12:43, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-15 20:12:46, GET, /HelloWorld, HTTP/1.1, 200, 0.016000
127.0.0.1, 2014-04-15 20:12:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-15 20:12:56, GET, /HelloWorld, HTTP/1.1, 200, 0.049000
127.0.0.1, 2014-04-15 20:12:56, GET, /HelloWorld/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:12:56, GET, /HelloWorld/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:12:56, GET, /HelloWorld/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:12:56, GET, /HelloWorld/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:12:56, GET, /HelloWorld/static/css/web2py.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:12:56, GET, /HelloWorld/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:12:56, GET, /HelloWorld/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:12:56, GET, /HelloWorld/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:12:56, GET, /HelloWorld/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:12:56, GET, /HelloWorld/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:12:56, GET, /HelloWorld/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:12:57, GET, /HelloWorld/static/images/twitter.png, HTTP/1.1, 304, 0.001000
